401 	 Q0 	 FBIS3-18024          	 0       	 1,863.9164 	 lucene
401 	 Q0 	 FBIS3-38236          	 1       	 1,738.5377 	 lucene
401 	 Q0 	 FBIS3-60813          	 2       	 1,446.2413 	 lucene
401 	 Q0 	 FBIS3-45308          	 3       	 1,439.9473 	 lucene
401 	 Q0 	 FT921-5955           	 4       	 1,399.2628 	 lucene
401 	 Q0 	 FT924-2188           	 5       	 1,367.1426 	 lucene
401 	 Q0 	 FR941205-0-00010     	 6       	 1,349.9324 	 lucene
401 	 Q0 	 FR940825-1-00100     	 7       	 1,347.9346 	 lucene
401 	 Q0 	 LA032890-0097        	 8       	 1,340.0474 	 lucene
401 	 Q0 	 FBIS3-9025           	 9       	 1,335.8341 	 lucene
401 	 Q0 	 LA030890-0165        	 10      	 1,325.6376 	 lucene
401 	 Q0 	 FR940825-1-00040     	 11      	 1,291.2025 	 lucene
401 	 Q0 	 FT941-12886          	 12      	 1,289.9028 	 lucene
401 	 Q0 	 FR940825-1-00042     	 13      	 1,286.2250 	 lucene
401 	 Q0 	 FBIS4-53715          	 14      	 1,280.9005 	 lucene
401 	 Q0 	 LA041290-0004        	 15      	 1,275.5048 	 lucene
401 	 Q0 	 FBIS4-65434          	 16      	 1,274.1471 	 lucene
401 	 Q0 	 FR940805-0-00026     	 17      	 1,265.1497 	 lucene
401 	 Q0 	 FT924-5091           	 18      	 1,264.9156 	 lucene
401 	 Q0 	 FBIS4-34124          	 19      	 1,263.1823 	 lucene
401 	 Q0 	 FR941104-2-00085     	 20      	 1,259.1013 	 lucene
401 	 Q0 	 FR940111-0-00031     	 21      	 1,257.4907 	 lucene
401 	 Q0 	 FR940110-1-00027     	 22      	 1,253.1156 	 lucene
401 	 Q0 	 FR941104-2-00089     	 23      	 1,251.2670 	 lucene
401 	 Q0 	 FBIS4-31230          	 24      	 1,250.0569 	 lucene
401 	 Q0 	 FBIS3-46030          	 25      	 1,249.9553 	 lucene
401 	 Q0 	 FR940111-0-00022     	 26      	 1,242.1029 	 lucene
401 	 Q0 	 LA122189-0023        	 27      	 1,235.8789 	 lucene
401 	 Q0 	 FR940825-1-00041     	 28      	 1,227.6450 	 lucene
401 	 Q0 	 FBIS3-58523          	 29      	 1,211.5695 	 lucene
401 	 Q0 	 FR940825-1-00070     	 30      	 1,200.2645 	 lucene
401 	 Q0 	 FR940825-1-00089     	 31      	 1,200.2645 	 lucene
401 	 Q0 	 FR940825-1-00097     	 32      	 1,200.2645 	 lucene
401 	 Q0 	 FR941205-0-00025     	 33      	 1,198.2225 	 lucene
401 	 Q0 	 FT924-3615           	 34      	 1,192.9255 	 lucene
401 	 Q0 	 FR940111-0-00041     	 35      	 1,191.5602 	 lucene
401 	 Q0 	 FR941205-0-00029     	 36      	 1,189.2236 	 lucene
401 	 Q0 	 FR940825-1-00037     	 37      	 1,187.6860 	 lucene
401 	 Q0 	 FBIS4-64853          	 38      	 1,186.5142 	 lucene
401 	 Q0 	 FR940825-1-00057     	 39      	 1,186.4209 	 lucene
401 	 Q0 	 FR941003-1-00052     	 40      	 1,182.6042 	 lucene
401 	 Q0 	 FBIS3-42166          	 41      	 1,182.5287 	 lucene
401 	 Q0 	 FBIS3-54448          	 42      	 1,182.5287 	 lucene
401 	 Q0 	 LA012189-0043        	 43      	 1,181.6892 	 lucene
401 	 Q0 	 FR941019-2-00029     	 44      	 1,180.2743 	 lucene
401 	 Q0 	 LA060989-0003        	 45      	 1,179.2557 	 lucene
401 	 Q0 	 LA052789-0101        	 46      	 1,176.2345 	 lucene
401 	 Q0 	 LA031790-0078        	 47      	 1,173.1742 	 lucene
401 	 Q0 	 LA050190-0138        	 48      	 1,169.9409 	 lucene
401 	 Q0 	 FBIS4-10342          	 49      	 1,167.9784 	 lucene
401 	 Q0 	 FR940825-1-00096     	 50      	 1,167.2046 	 lucene
401 	 Q0 	 FR940825-1-00038     	 51      	 1,164.9304 	 lucene
401 	 Q0 	 FT933-6755           	 52      	 1,163.8914 	 lucene
401 	 Q0 	 FBIS4-5644           	 53      	 1,163.1371 	 lucene
401 	 Q0 	 FR940825-1-00088     	 54      	 1,161.4663 	 lucene
401 	 Q0 	 LA033090-0083        	 55      	 1,160.2659 	 lucene
401 	 Q0 	 FT941-16483          	 56      	 1,156.9601 	 lucene
401 	 Q0 	 FR940110-1-00045     	 57      	 1,156.2749 	 lucene
401 	 Q0 	 FBIS4-49141          	 58      	 1,153.6229 	 lucene
401 	 Q0 	 FT944-15017          	 59      	 1,152.6401 	 lucene
401 	 Q0 	 FBIS3-27371          	 60      	 1,151.4534 	 lucene
401 	 Q0 	 LA032390-0074        	 61      	 1,151.3660 	 lucene
401 	 Q0 	 LA081089-0099        	 62      	 1,149.7000 	 lucene
401 	 Q0 	 FT934-12742          	 63      	 1,148.4220 	 lucene
401 	 Q0 	 FBIS3-20360          	 64      	 1,148.3003 	 lucene
401 	 Q0 	 FT934-9441           	 65      	 1,147.0977 	 lucene
401 	 Q0 	 FT943-4411           	 66      	 1,147.0546 	 lucene
401 	 Q0 	 LA080389-0118        	 67      	 1,146.7883 	 lucene
401 	 Q0 	 FBIS3-55690          	 68      	 1,146.3977 	 lucene
401 	 Q0 	 FR940825-1-00069     	 69      	 1,145.3302 	 lucene
401 	 Q0 	 FBIS3-32470          	 70      	 1,144.3757 	 lucene
401 	 Q0 	 FR940825-1-00046     	 71      	 1,141.2205 	 lucene
401 	 Q0 	 FBIS3-30362          	 72      	 1,136.8860 	 lucene
401 	 Q0 	 FR940825-1-00039     	 73      	 1,135.0591 	 lucene
401 	 Q0 	 LA040690-0072        	 74      	 1,133.6305 	 lucene
401 	 Q0 	 FBIS4-34923          	 75      	 1,132.2432 	 lucene
401 	 Q0 	 LA072189-0046        	 76      	 1,130.1949 	 lucene
401 	 Q0 	 FR940513-1-00020     	 77      	 1,130.0520 	 lucene
401 	 Q0 	 LA072190-0060        	 78      	 1,122.4028 	 lucene
401 	 Q0 	 FT942-5121           	 79      	 1,121.6052 	 lucene
401 	 Q0 	 FT942-5131           	 80      	 1,121.6052 	 lucene
401 	 Q0 	 FBIS3-59055          	 81      	 1,121.4664 	 lucene
401 	 Q0 	 FBIS3-10306          	 82      	 1,120.0533 	 lucene
401 	 Q0 	 FR940825-1-00056     	 83      	 1,119.6539 	 lucene
401 	 Q0 	 LA081090-0105        	 84      	 1,114.7302 	 lucene
401 	 Q0 	 FR941205-0-00028     	 85      	 1,111.8763 	 lucene
401 	 Q0 	 FBIS3-10502          	 86      	 1,111.5840 	 lucene
401 	 Q0 	 LA051990-0026        	 87      	 1,110.7683 	 lucene
401 	 Q0 	 LA070789-0025        	 88      	 1,107.2483 	 lucene
401 	 Q0 	 FBIS4-24825          	 89      	 1,106.1560 	 lucene
401 	 Q0 	 LA091390-0268        	 90      	 1,105.7206 	 lucene
401 	 Q0 	 FT944-14821          	 91      	 1,105.3849 	 lucene
401 	 Q0 	 FBIS3-10327          	 92      	 1,105.2631 	 lucene
401 	 Q0 	 FBIS3-39522          	 93      	 1,104.7758 	 lucene
401 	 Q0 	 FBIS4-51651          	 94      	 1,104.5565 	 lucene
401 	 Q0 	 FBIS3-42013          	 95      	 1,102.9899 	 lucene
401 	 Q0 	 FR940118-1-00026     	 96      	 1,101.4854 	 lucene
401 	 Q0 	 LA121589-0001        	 97      	 1,096.7926 	 lucene
401 	 Q0 	 FT934-748            	 98      	 1,096.0520 	 lucene
401 	 Q0 	 LA082589-0130        	 99      	 1,096.0452 	 lucene
401 	 Q0 	 LA112190-0056        	 100     	 1,095.3779 	 lucene
401 	 Q0 	 LA020589-0194        	 101     	 1,091.1136 	 lucene
401 	 Q0 	 FT942-12297          	 102     	 1,090.9883 	 lucene
401 	 Q0 	 FBIS3-18733          	 103     	 1,090.1475 	 lucene
401 	 Q0 	 FR940428-1-00003     	 104     	 1,089.9648 	 lucene
401 	 Q0 	 FT934-104            	 105     	 1,089.5261 	 lucene
401 	 Q0 	 FBIS3-11885          	 106     	 1,089.1489 	 lucene
401 	 Q0 	 LA101189-0002        	 107     	 1,086.5284 	 lucene
401 	 Q0 	 LA101289-0027        	 108     	 1,085.5920 	 lucene
401 	 Q0 	 FBIS3-46978          	 109     	 1,085.1329 	 lucene
401 	 Q0 	 FT911-1799           	 110     	 1,084.5088 	 lucene
401 	 Q0 	 FBIS3-57944          	 111     	 1,083.3285 	 lucene
401 	 Q0 	 FBIS4-8022           	 112     	 1,083.3044 	 lucene
401 	 Q0 	 LA070789-0082        	 113     	 1,080.3748 	 lucene
401 	 Q0 	 FR940617-2-00162     	 114     	 1,079.9354 	 lucene
401 	 Q0 	 FR941103-0-00055     	 115     	 1,079.2085 	 lucene
401 	 Q0 	 FT923-10789          	 116     	 1,078.5610 	 lucene
401 	 Q0 	 FT941-16124          	 117     	 1,078.3654 	 lucene
401 	 Q0 	 FT933-2357           	 118     	 1,077.5114 	 lucene
401 	 Q0 	 LA060989-0120        	 119     	 1,076.5841 	 lucene
401 	 Q0 	 FBIS3-38976          	 120     	 1,076.3265 	 lucene
401 	 Q0 	 FBIS4-64883          	 121     	 1,075.3223 	 lucene
401 	 Q0 	 LA072090-0019        	 122     	 1,075.2251 	 lucene
401 	 Q0 	 LA090590-0020        	 123     	 1,074.8754 	 lucene
401 	 Q0 	 FR941205-0-00015     	 124     	 1,074.0568 	 lucene
401 	 Q0 	 FT923-3134           	 125     	 1,071.9131 	 lucene
401 	 Q0 	 LA082889-0048        	 126     	 1,071.0077 	 lucene
401 	 Q0 	 FBIS4-40299          	 127     	 1,068.6978 	 lucene
401 	 Q0 	 FR940720-2-00020     	 128     	 1,068.4426 	 lucene
401 	 Q0 	 FR940805-1-00029     	 129     	 1,067.4174 	 lucene
401 	 Q0 	 FBIS4-53787          	 130     	 1,067.2047 	 lucene
401 	 Q0 	 FBIS3-44516          	 131     	 1,067.1704 	 lucene
401 	 Q0 	 FR940817-0-00060     	 132     	 1,066.0990 	 lucene
401 	 Q0 	 LA121489-0181        	 133     	 1,065.9163 	 lucene
401 	 Q0 	 FR940523-0-00012     	 134     	 1,064.4673 	 lucene
401 	 Q0 	 FBIS3-30705          	 135     	 1,063.5104 	 lucene
401 	 Q0 	 FBIS3-58007          	 136     	 1,062.9569 	 lucene
401 	 Q0 	 FBIS3-58037          	 137     	 1,062.9569 	 lucene
401 	 Q0 	 LA012289-0096        	 138     	 1,062.9424 	 lucene
401 	 Q0 	 FR940523-0-00045     	 139     	 1,060.5371 	 lucene
401 	 Q0 	 LA053190-0100        	 140     	 1,060.2838 	 lucene
401 	 Q0 	 FR940825-1-00086     	 141     	 1,059.9136 	 lucene
401 	 Q0 	 FR940825-1-00094     	 142     	 1,059.9136 	 lucene
401 	 Q0 	 FBIS4-54206          	 143     	 1,059.2017 	 lucene
401 	 Q0 	 FBIS3-32762          	 144     	 1,059.1827 	 lucene
401 	 Q0 	 FR940111-0-00030     	 145     	 1,058.9766 	 lucene
401 	 Q0 	 FR940825-0-00031     	 146     	 1,058.4015 	 lucene
401 	 Q0 	 FR941116-0-00072     	 147     	 1,058.3519 	 lucene
401 	 Q0 	 FBIS3-39240          	 148     	 1,058.1323 	 lucene
401 	 Q0 	 FR940817-0-00065     	 149     	 1,057.1588 	 lucene
401 	 Q0 	 FR940825-1-00068     	 150     	 1,057.0920 	 lucene
401 	 Q0 	 LA033190-0072        	 151     	 1,055.8431 	 lucene
401 	 Q0 	 FR940412-1-00004     	 152     	 1,055.6982 	 lucene
401 	 Q0 	 LA051690-0048        	 153     	 1,055.5336 	 lucene
401 	 Q0 	 FR940202-0-00031     	 154     	 1,054.6853 	 lucene
401 	 Q0 	 FBIS3-32990          	 155     	 1,054.4705 	 lucene
401 	 Q0 	 FR940112-0-00002     	 156     	 1,053.7570 	 lucene
401 	 Q0 	 FR940707-1-00016     	 157     	 1,052.1295 	 lucene
401 	 Q0 	 FBIS4-6817           	 158     	 1,051.4142 	 lucene
401 	 Q0 	 FBIS3-46049          	 159     	 1,050.1271 	 lucene
401 	 Q0 	 LA030489-0031        	 160     	 1,049.5245 	 lucene
401 	 Q0 	 FR940511-2-00131     	 161     	 1,049.3616 	 lucene
401 	 Q0 	 FR941116-0-00074     	 162     	 1,048.5776 	 lucene
401 	 Q0 	 FT924-4955           	 163     	 1,048.4440 	 lucene
401 	 Q0 	 FBIS4-2353           	 164     	 1,048.2620 	 lucene
401 	 Q0 	 FT921-13797          	 165     	 1,048.2261 	 lucene
401 	 Q0 	 FR940817-0-00047     	 166     	 1,045.8605 	 lucene
401 	 Q0 	 FBIS4-62306          	 167     	 1,042.2827 	 lucene
401 	 Q0 	 FR940825-1-00066     	 168     	 1,041.9264 	 lucene
401 	 Q0 	 FR940825-1-00044     	 169     	 1,041.1685 	 lucene
401 	 Q0 	 LA121590-0001        	 170     	 1,040.2427 	 lucene
401 	 Q0 	 FBIS4-15425          	 171     	 1,039.6930 	 lucene
401 	 Q0 	 FR940825-1-00043     	 172     	 1,039.5350 	 lucene
401 	 Q0 	 FBIS3-46172          	 173     	 1,039.3857 	 lucene
401 	 Q0 	 FR940825-1-00054     	 174     	 1,039.1812 	 lucene
401 	 Q0 	 FBIS3-41103          	 175     	 1,038.0947 	 lucene
401 	 Q0 	 LA030789-0061        	 176     	 1,037.9342 	 lucene
401 	 Q0 	 FR940707-1-00010     	 177     	 1,036.2203 	 lucene
401 	 Q0 	 LA032489-0016        	 178     	 1,035.9198 	 lucene
401 	 Q0 	 FBIS3-34359          	 179     	 1,035.5673 	 lucene
401 	 Q0 	 FR940825-1-00049     	 180     	 1,033.9149 	 lucene
401 	 Q0 	 FBIS3-32763          	 181     	 1,033.4508 	 lucene
401 	 Q0 	 FBIS3-39218          	 182     	 1,032.8820 	 lucene
401 	 Q0 	 FT923-4416           	 183     	 1,032.3870 	 lucene
401 	 Q0 	 LA053190-0071        	 184     	 1,031.0083 	 lucene
401 	 Q0 	 FT943-3533           	 185     	 1,030.2656 	 lucene
401 	 Q0 	 FR940825-1-00098     	 186     	 1,029.8898 	 lucene
401 	 Q0 	 FBIS3-21590          	 187     	 1,029.8611 	 lucene
401 	 Q0 	 LA081890-0013        	 188     	 1,028.3256 	 lucene
401 	 Q0 	 FBIS4-35579          	 189     	 1,028.2552 	 lucene
401 	 Q0 	 FBIS4-53980          	 190     	 1,027.6672 	 lucene
401 	 Q0 	 LA071889-0026        	 191     	 1,026.8759 	 lucene
401 	 Q0 	 FT942-5461           	 192     	 1,026.7200 	 lucene
401 	 Q0 	 LA112089-0097        	 193     	 1,026.1404 	 lucene
401 	 Q0 	 FBIS3-3008           	 194     	 1,025.9766 	 lucene
401 	 Q0 	 FT922-9093           	 195     	 1,023.9348 	 lucene
401 	 Q0 	 LA042589-0012        	 196     	 1,023.6217 	 lucene
401 	 Q0 	 FR940805-0-00024     	 197     	 1,023.5749 	 lucene
401 	 Q0 	 FR940526-0-00028     	 198     	 1,023.0891 	 lucene
401 	 Q0 	 FBIS3-49633          	 199     	 1,020.6157 	 lucene
401 	 Q0 	 FT922-8412           	 200     	 1,020.6003 	 lucene
401 	 Q0 	 FR941027-1-00011     	 201     	 1,019.0574 	 lucene
401 	 Q0 	 FT933-5997           	 202     	 1,018.8843 	 lucene
401 	 Q0 	 FBIS3-44622          	 203     	 1,018.7233 	 lucene
401 	 Q0 	 LA102590-0127        	 204     	 1,018.0217 	 lucene
401 	 Q0 	 FBIS3-29467          	 205     	 1,017.7879 	 lucene
401 	 Q0 	 FR940607-1-00007     	 206     	 1,017.3326 	 lucene
401 	 Q0 	 FT931-2966           	 207     	 1,016.9890 	 lucene
401 	 Q0 	 FR941122-0-00024     	 208     	 1,016.0775 	 lucene
401 	 Q0 	 FBIS3-42965          	 209     	 1,015.5147 	 lucene
401 	 Q0 	 FR941205-0-00006     	 210     	 1,015.3634 	 lucene
401 	 Q0 	 FBIS4-61336          	 211     	 1,014.8815 	 lucene
401 	 Q0 	 FT924-7558           	 212     	 1,014.3889 	 lucene
401 	 Q0 	 FR940825-1-00087     	 213     	 1,014.3803 	 lucene
401 	 Q0 	 FR940825-1-00095     	 214     	 1,014.3803 	 lucene
401 	 Q0 	 LA100590-0031        	 215     	 1,014.1666 	 lucene
401 	 Q0 	 FR940825-1-00076     	 216     	 1,013.5001 	 lucene
401 	 Q0 	 FT942-2366           	 217     	 1,013.3729 	 lucene
401 	 Q0 	 FT941-10142          	 218     	 1,012.8107 	 lucene
401 	 Q0 	 FR940706-0-00009     	 219     	 1,012.4671 	 lucene
401 	 Q0 	 FR941006-0-00033     	 220     	 1,010.6236 	 lucene
401 	 Q0 	 FT922-8550           	 221     	 1,010.6127 	 lucene
401 	 Q0 	 FT911-1265           	 222     	 1,010.2022 	 lucene
401 	 Q0 	 FBIS4-39850          	 223     	 1,010.1392 	 lucene
401 	 Q0 	 FT932-15086          	 224     	 1,009.9775 	 lucene
401 	 Q0 	 FT933-803            	 225     	 1,009.6328 	 lucene
401 	 Q0 	 LA102690-0021        	 226     	 1,009.4021 	 lucene
401 	 Q0 	 LA122490-0108        	 227     	 1,009.0632 	 lucene
401 	 Q0 	 FR941116-0-00077     	 228     	 1,006.8812 	 lucene
401 	 Q0 	 FBIS4-43940          	 229     	 1,006.1298 	 lucene
401 	 Q0 	 FT921-10372          	 230     	 1,005.5246 	 lucene
401 	 Q0 	 LA033090-0005        	 231     	 1,005.2434 	 lucene
401 	 Q0 	 LA092889-0147        	 232     	 1,004.1385 	 lucene
401 	 Q0 	 LA021889-0049        	 233     	 1,003.7228 	 lucene
401 	 Q0 	 LA030189-0037        	 234     	 1,003.4023 	 lucene
401 	 Q0 	 FR940503-0-00047     	 235     	 1,002.6609 	 lucene
401 	 Q0 	 LA120589-0030        	 236     	 1,001.1601 	 lucene
401 	 Q0 	 FT924-6007           	 237     	 1,000.8920 	 lucene
401 	 Q0 	 LA101190-0214        	 238     	 1,000.7234 	 lucene
401 	 Q0 	 FR940111-0-00020     	 239     	 999.7179 	 lucene
401 	 Q0 	 FT932-12074          	 240     	 999.6464 	 lucene
401 	 Q0 	 FBIS3-55612          	 241     	 999.0872 	 lucene
401 	 Q0 	 FT921-4196           	 242     	 998.3512 	 lucene
401 	 Q0 	 FR940825-1-00055     	 243     	 998.2647 	 lucene
401 	 Q0 	 FBIS4-31707          	 244     	 997.5049 	 lucene
401 	 Q0 	 FR940825-1-00067     	 245     	 997.1677 	 lucene
401 	 Q0 	 LA033190-0012        	 246     	 996.6976 	 lucene
401 	 Q0 	 LA011190-0077        	 247     	 996.3459 	 lucene
